,ID,Transportation,Speed,rating,rating_bus,rating_weather,linha,Displacements
0,3,bus_1,13.56,3,0,0,,0.032833179007419215
1,4,bus_2,19.767,3,0,0,,0.0545100498200531
2,12,bus_3,17.405,3,0,0,,0.004564968039868758
3,13,bus_4,15.395,3,0,0,,0.05488784962131468
4,14,bus_5,8.903,2,0,0,,0.0
5,18,bus_6,16.357,2,0,0,,0.00974997496305437
6,19,bus_7,17.543,2,0,0,,0.04849540213606902
7,24,bus_8,19.424,2,0,0,,0.023786273469220208
8,25,bus_9,20.8,3,0,0,,0.07885953604352493
9,26,bus_10,8.724,1,0,0,,0.0801709131411998
10,27,bus_11,8.724,1,0,0,,0.0801709131411998
11,33,bus_12,12.611,2,0,0,,0.04737785190890813
12,49,bus_13,37.141,3,0,0,,0.030950494377961338
13,50,bus_14,37.141,3,0,0,,0.030950494377961338
14,51,bus_15,72.927,1,0,0,,0.004345200409026412
15,58,bus_16,96.206,2,0,0,,0.033274086304208174
16,61,bus_17,3.238,2,0,0,,3.253195659414481e-05
17,63,bus_18,0.582,2,0,0,,7.21634949263378e-05
18,65,bus_19,1.387,2,0,0,,5.650118671318788e-05
19,67,bus_20,0.181,2,0,0,,7.910779039201975e-05
20,70,bus_21,0.187,2,0,0,,6.452436516563817e-05
21,71,bus_22,2.74,2,0,0,,0.0
22,78,bus_23,1.552,2,0,0,,2.3596315388687164e-05
23,99,bus_24,0.892,2,0,0,,0.00010537164134463223
24,128,bus_25,1.262,2,0,0,,4.2455040927755325e-05
25,155,bus_26,0.637,2,0,0,,1.8964875433574797e-05
26,157,bus_27,0.196,1,0,0,,6.0153403896515095e-05
27,158,bus_28,0.036,1,0,0,,2.3653280953932457e-05
28,159,bus_29,1.034,3,0,0,,0.0
29,171,bus_30,8.986,1,3,1,008 - SANTA TEREZA B INDUSTRIA,0.0
30,177,bus_31,3.456,3,1,1,040 - MARCOS FREIRE II DIA,0.00013897375651588948
31,179,bus_32,1.581,3,1,2,008 - SANTA TEREZA B INDUSTRIA,2.8935272606458056e-06
32,205,bus_33,1.023,3,2,1,409 - RIOMAR DIA,7.259530149970123e-05
33,210,bus_34,23.785,1,2,2,051 - ATALAIA CENTRO,0.047201202369245215
34,248,bus_35,24.003,3,1,2,051 - ATALAIA CENTRO,0.05555673039471773
35,32446,bus_36,21.195,3,2,2,051 - ATALAIA CENTRO,0.048388621393185706
