ID,Transportation,Speed
3,bus_1,13.56
4,bus_2,19.767
12,bus_3,17.405
13,bus_4,15.395
14,bus_5,8.903
18,bus_6,16.357
19,bus_7,17.543
24,bus_8,19.424
25,bus_9,20.8
26,bus_10,8.724
27,bus_11,8.724
33,bus_12,12.611
49,bus_13,37.141
50,bus_14,37.141
51,bus_15,72.927
58,bus_16,96.206
61,bus_17,3.238
63,bus_18,0.582
65,bus_19,1.387
67,bus_20,0.181
70,bus_21,0.187
71,bus_22,2.74
78,bus_23,1.552
99,bus_24,0.892
128,bus_25,1.262
155,bus_26,0.637
157,bus_27,0.196
158,bus_28,0.036
159,bus_29,1.034
171,bus_30,8.986
177,bus_31,3.456
179,bus_32,1.581
205,bus_33,1.023
210,bus_34,23.785
248,bus_35,24.003
32446,bus_36,21.195
32447,bus_37,21.195
37945,bus_38,20.37
37949,bus_39,2.878
37950,bus_40,18.794
37951,bus_41,18.794
37953,bus_42,14.9
37954,bus_43,14.9
37955,bus_44,25.555
37960,bus_45,13.532
37961,bus_46,17.972
37964,bus_47,29.541
37965,bus_48,15.62
37967,bus_49,0.01
37969,bus_50,16.779
37971,bus_51,4.871
37972,bus_52,4.871
37979,bus_53,0.559
37982,bus_54,4.68
37983,bus_55,1.601
37989,bus_56,18.705
37990,bus_57,1.834
37993,bus_58,0.102
37995,bus_59,0.177
38000,bus_60,16.685
38001,bus_61,10.941
38015,bus_62,24.505
38016,bus_63,11.567
38018,bus_64,0.398
38022,bus_65,19.377
38024,bus_66,7.138
38030,bus_67,1.783
38031,bus_68,0.172
38039,bus_69,1.312
38044,bus_70,23.199
38045,bus_71,23.503
38064,bus_72,1.445
38069,bus_73,0.536
38084,bus_74,1.154
38090,bus_75,0.843
38092,bus_76,1.373
